Project Name,Subject Skill Needed
Auto-Grader - Data v29,Data Structures and Algorithms
Search Engine Mini - Data v28,Discrete Mathematics
Image Classifier - Cloud v6,Computer Organization
Image Classifier - Cloud v18,Discrete Mathematics
Speech-to-Text - Cloud v5,Data Structures and Algorithms
IoT Sensor Monitor - ML v15,Machine Learning
Stock Price Tracker - ML v26,Machine Learning
Map Routing App - Edge v19,Finite Automata
Expense Splitter - Data v12,Finite Automata
Traffic Simulation - Mobile v19,Machine Learning
Sentiment Analyzer - Systems v7,Discrete Mathematics
Compiler Tiny - ML v20,Data Structures and Algorithms
Map Routing App - Cloud v10,Data Structures and Algorithms
Anomaly Detector - Mobile v10,Discrete Mathematics
Quiz App - Systems v26,Computer Networks
IoT Sensor Monitor - ML v27,Discrete Mathematics
Gesture Recognition - Mobile v11,Computer Networks
Weather Dashboard - Cloud v6,Finite Automata
URL Shortener - Mobile v22,Discrete Mathematics
IoT Sensor Monitor - Mobile v14,Computer Networks
Weather Dashboard - Data v13,Computer Organization
Handwriting OCR - Systems v12,Finite Automata
Memory Allocator Demo - Mobile v22,Computer Networks
E-Commerce Site - Cloud v10,Computer Organization
Sentiment Analyzer - Web v29,Computer Organization
Log Parser - Cloud v25,Computer Organization
Anomaly Detector - Data v26,Discrete Mathematics
Forum Platform - Data v16,Computer Organization
Course Planner - Systems v17,Computer Networks
Quiz App - Cloud v19,Computer Networks
Smart Attendance - Web v25,Finite Automata
File Sharing Service - Systems v24,Finite Automata
Course Planner - Web v19,Computer Networks
URL Shortener - Edge v19,Computer Organization
Regex Visualizer - ML v27,Computer Networks
Blog CMS - Mobile v9,Machine Learning
Music Streaming Prototype - Web v20,Finite Automata
Traffic Simulation - ML v3,Machine Learning
Fitness Tracker - Data v30,Discrete Mathematics
Log Parser - Cloud v19,Discrete Mathematics
Weather Dashboard - Systems v22,Computer Organization
Event Ticketing - Systems v16,Data Structures and Algorithms
Face Detection Tool - Mobile v21,Machine Learning
Smart Attendance - Systems v19,Computer Networks
Fraud Detection - Data v17,Machine Learning
Auto-Grader - ML v29,Computer Organization
Recommendation Engine - Data v17,Discrete Mathematics
Memory Allocator Demo - Cloud v12,Finite Automata
Note Taking App - Edge v26,Computer Networks
Recommendation Engine - Data v25,Computer Organization
Anomaly Detector - Data v2,Finite Automata
Traffic Simulation - Systems v11,Discrete Mathematics
Music Streaming Prototype - Systems v19,Data Structures and Algorithms
DB Index Visualizer - Systems v3,Machine Learning
Speech-to-Text - Mobile v12,Machine Learning
Chat App - Edge v24,Finite Automata
E-Commerce Site - Edge v30,Computer Organization
Expense Splitter - Systems v16,Finite Automata
Compiler Tiny - Web v15,Machine Learning
Blog CMS - Edge v20,Finite Automata
Multi-tenant SaaS - Edge v16,Finite Automata
Traffic Simulation - Data v25,Data Structures and Algorithms
Multi-tenant SaaS - Mobile v19,Computer Networks
Todo API - Cloud v3,Finite Automata
Traffic Simulation - ML v20,Finite Automata
Traffic Simulation - Systems v7,Finite Automata
Todo API - Cloud v11,Computer Organization
Anomaly Detector - Edge v23,Computer Networks
Gesture Recognition - Mobile v22,Computer Organization
Face Detection Tool - Web v11,Computer Organization
Stock Price Tracker - Web v1,Data Structures and Algorithms
IoT Sensor Monitor - Web v10,Data Structures and Algorithms
Event Ticketing - Cloud v16,Finite Automata
Social Graph Analyzer - Systems v18,Machine Learning
Crypto Arbitrage Bot - Mobile v7,Discrete Mathematics
Fraud Detection - Systems v20,Finite Automata
Sentiment Analyzer - Cloud v19,Data Structures and Algorithms
Event Ticketing - Web v18,Computer Organization
Forum Platform - Data v25,Data Structures and Algorithms
Scheduling System - Edge v17,Data Structures and Algorithms
Weather Dashboard - Data v22,Data Structures and Algorithms
Code Editor Lite - Edge v29,Machine Learning
Auto-Grader - Mobile v21,Computer Organization
Edge Caching Simulator - Cloud v2,Discrete Mathematics
Crypto Arbitrage Bot - Systems v13,Data Structures and Algorithms
Regex Visualizer - Data v6,Finite Automata
Blog CMS - ML v21,Finite Automata
Sentiment Analyzer - ML v3,Computer Organization
Expense Splitter - Web v23,Discrete Mathematics
Fraud Detection - Web v27,Computer Organization
Todo API - Edge v8,Data Structures and Algorithms
Map Routing App - Systems v13,Machine Learning
Music Streaming Prototype - Mobile v9,Finite Automata
Blockchain Wallet Demo - Web v15,Computer Organization
Spam Filter - Mobile v6,Finite Automata
Chat App - Web v29,Finite Automata
Anomaly Detector - Web v26,Data Structures and Algorithms
Auto-Grader - Edge v27,Data Structures and Algorithms
Edge Caching Simulator - Cloud v30,Machine Learning
Crypto Arbitrage Bot - ML v14,Finite Automata
DB Index Visualizer - Web v23,Discrete Mathematics
Course Planner - Cloud v8,Computer Networks
Map Routing App - Data v29,Discrete Mathematics
Handwriting OCR - Web v30,Finite Automata
Handwriting OCR - Data v20,Finite Automata
Recommendation Engine - Cloud v15,Computer Organization
Multi-tenant SaaS - Web v14,Finite Automata
Face Detection Tool - Mobile v11,Computer Networks
Network Packet Sniffer - Systems v15,Computer Organization
Memory Allocator Demo - Web v27,Computer Organization
Quiz App - Systems v16,Machine Learning
Blockchain Wallet Demo - Systems v16,Computer Organization
Fraud Detection - Cloud v13,Finite Automata
Log Parser - Edge v23,Discrete Mathematics
Forum Platform - Data v29,Computer Networks
Handwriting OCR - Mobile v5,Finite Automata
URL Shortener - Cloud v7,Machine Learning
Handwriting OCR - Data v6,Discrete Mathematics
Spam Filter - Edge v7,Machine Learning
Anomaly Detector - Cloud v18,Machine Learning
Chat App - Cloud v24,Computer Organization
Compiler Tiny - Web v13,Finite Automata
Network Packet Sniffer - Edge v25,Finite Automata
Recommendation Engine - ML v7,Computer Organization
Speech-to-Text - Data v29,Computer Organization
Image Classifier - ML v14,Discrete Mathematics
Blockchain Wallet Demo - Data v4,Finite Automata
Code Editor Lite - Edge v30,Data Structures and Algorithms
Blockchain Wallet Demo - ML v5,Computer Organization
Music Streaming Prototype - Systems v3,Computer Organization
Search Engine Mini - Systems v7,Discrete Mathematics
Stock Price Tracker - Data v6,Computer Organization
Sentiment Analyzer - Mobile v17,Computer Networks
Memory Allocator Demo - Cloud v10,Finite Automata
URL Shortener - Edge v30,Discrete Mathematics
Fitness Tracker - Systems v24,Computer Organization
Music Streaming Prototype - Systems v22,Finite Automata
Face Detection Tool - ML v30,Finite Automata
Crypto Arbitrage Bot - Data v30,Computer Organization
Fitness Tracker - Data v28,Discrete Mathematics
Blockchain Wallet Demo - Edge v4,Computer Networks
File Sharing Service - Web v28,Computer Organization
Smart Attendance - Mobile v24,Machine Learning
URL Shortener - Web v3,Machine Learning
E-Commerce Site - Edge v9,Finite Automata
Memory Allocator Demo - Edge v30,Finite Automata
Map Routing App - Web v13,Computer Networks
Face Detection Tool - Systems v13,Machine Learning
Music Streaming Prototype - ML v5,Computer Organization
Chat App - Web v25,Discrete Mathematics
Fraud Detection - Data v5,Discrete Mathematics
Blockchain Wallet Demo - Cloud v3,Machine Learning
File Sharing Service - Edge v18,Computer Organization
Crypto Arbitrage Bot - Mobile v6,Computer Networks
Stock Price Tracker - ML v4,Computer Networks
Image Classifier - Mobile v25,Computer Organization
News Aggregator - Systems v5,Finite Automata
Portfolio Website - Edge v2,Machine Learning
VR Gallery - Data v9,Data Structures and Algorithms
Fraud Detection - ML v27,Computer Organization
Sentiment Analyzer - Cloud v15,Machine Learning
Blog CMS - Systems v3,Machine Learning
Scheduling System - Data v18,Machine Learning
Smart Attendance - Mobile v28,Computer Networks
Face Detection Tool - Cloud v30,Finite Automata
Face Detection Tool - Systems v24,Finite Automata
Face Detection Tool - ML v15,Data Structures and Algorithms
Crypto Arbitrage Bot - Data v22,Machine Learning
Weather Dashboard - Web v27,Finite Automata
Image Classifier - Edge v5,Computer Organization
URL Shortener - Systems v5,Machine Learning
Forum Platform - Cloud v7,Machine Learning
News Aggregator - ML v29,Finite Automata
Job Portal - Web v22,Data Structures and Algorithms
Face Detection Tool - Edge v20,Finite Automata
Fraud Detection - Web v6,Discrete Mathematics
Expense Splitter - Web v13,Computer Networks
Forum Platform - Cloud v22,Computer Organization
Image Classifier - ML v7,Machine Learning
AR Ruler - ML v22,Computer Networks
Course Planner - Edge v15,Computer Networks
Chat App - Edge v3,Computer Organization
Spam Filter - Systems v7,Finite Automata
Quiz App - Systems v12,Computer Networks
E-Commerce Site - Edge v2,Computer Networks
Handwriting OCR - Mobile v1,Discrete Mathematics
Gesture Recognition - Systems v25,Finite Automata
Memory Allocator Demo - Systems v26,Discrete Mathematics
Music Streaming Prototype - Edge v27,Computer Organization
Gesture Recognition - Edge v15,Machine Learning
DB Index Visualizer - Systems v4,Computer Organization
Crypto Arbitrage Bot - Systems v1,Computer Networks
Fraud Detection - ML v28,Finite Automata
Portfolio Website - Data v29,Discrete Mathematics
URL Shortener - Web v30,Computer Organization
Search Engine Mini - Web v8,Finite Automata
Blog CMS - Web v12,Discrete Mathematics
Speech-to-Text - Mobile v4,Data Structures and Algorithms
Course Planner - ML v12,Computer Networks
Log Parser - ML v18,Computer Networks
Network Packet Sniffer - Systems v14,Finite Automata
Job Portal - Web v2,Computer Networks
Speech-to-Text - ML v8,Computer Organization
Portfolio Website - Systems v29,Finite Automata
DB Index Visualizer - Cloud v6,Computer Networks
Image Classifier - Edge v20,Computer Networks
IoT Sensor Monitor - Systems v27,Data Structures and Algorithms
Anomaly Detector - Data v11,Computer Organization
URL Shortener - ML v26,Computer Networks
Quiz App - Edge v7,Computer Networks
VR Gallery - Web v29,Discrete Mathematics
Traffic Simulation - Edge v5,Machine Learning
Note Taking App - ML v24,Machine Learning
Chat App - Edge v30,Machine Learning
Log Parser - Systems v20,Machine Learning
News Aggregator - Systems v20,Discrete Mathematics
VR Gallery - Data v12,Machine Learning
Traffic Simulation - Mobile v22,Computer Organization
Chat App - Data v4,Data Structures and Algorithms
Handwriting OCR - Data v2,Data Structures and Algorithms
Portfolio Website - Cloud v4,Machine Learning
Map Routing App - Data v10,Finite Automata
Weather Dashboard - Data v27,Discrete Mathematics
Scheduling System - Cloud v29,Computer Organization
Auto-Grader - Mobile v2,Discrete Mathematics
Code Editor Lite - Mobile v22,Computer Organization
Image Classifier - Web v26,Machine Learning
Job Portal - Systems v20,Discrete Mathematics
Handwriting OCR - Mobile v19,Discrete Mathematics
Network Packet Sniffer - ML v20,Finite Automata
Network Packet Sniffer - Cloud v19,Discrete Mathematics
Regex Visualizer - Edge v29,Data Structures and Algorithms
Auto-Grader - Web v23,Computer Networks
Fitness Tracker - Web v13,Data Structures and Algorithms
Multi-tenant SaaS - ML v29,Data Structures and Algorithms
Fitness Tracker - Edge v20,Machine Learning
Map Routing App - Cloud v4,Computer Networks
Regex Visualizer - Mobile v27,Discrete Mathematics
Edge Caching Simulator - Systems v19,Machine Learning
Portfolio Website - Systems v9,Finite Automata
VR Gallery - Cloud v7,Discrete Mathematics
Gesture Recognition - Web v10,Discrete Mathematics
Map Routing App - Edge v7,Computer Organization
Music Streaming Prototype - Systems v15,Computer Networks
Blockchain Wallet Demo - ML v7,Finite Automata
Face Detection Tool - Mobile v4,Computer Networks
Sentiment Analyzer - Data v15,Computer Organization
AR Ruler - Edge v23,Discrete Mathematics
Handwriting OCR - Edge v3,Data Structures and Algorithms
Scheduling System - ML v26,Discrete Mathematics
Gesture Recognition - Mobile v16,Finite Automata
Blog CMS - Mobile v19,Data Structures and Algorithms
Music Streaming Prototype - Mobile v3,Discrete Mathematics
Speech-to-Text - Web v28,Machine Learning
Map Routing App - ML v28,Machine Learning
Network Packet Sniffer - Mobile v2,Computer Networks
IoT Sensor Monitor - Data v17,Computer Networks
Forum Platform - Web v30,Machine Learning
Multi-tenant SaaS - Systems v8,Computer Networks
Image Classifier - ML v12,Computer Networks
IoT Sensor Monitor - Web v11,Data Structures and Algorithms
Blog CMS - Systems v9,Discrete Mathematics
Search Engine Mini - Web v16,Finite Automata
Fraud Detection - Mobile v22,Finite Automata
Expense Splitter - Web v11,Computer Organization
Spam Filter - Systems v22,Finite Automata
Blockchain Wallet Demo - Systems v28,Computer Organization
Smart Attendance - Mobile v14,Machine Learning
AR Ruler - Mobile v24,Computer Organization
Spam Filter - Mobile v9,Discrete Mathematics
Edge Caching Simulator - ML v5,Discrete Mathematics
Map Routing App - Web v28,Data Structures and Algorithms
Event Ticketing - Systems v26,Finite Automata
Handwriting OCR - Mobile v27,Data Structures and Algorithms
Sentiment Analyzer - ML v10,Finite Automata
Face Detection Tool - Data v12,Computer Networks
DB Index Visualizer - Data v4,Computer Organization
Multi-tenant SaaS - ML v27,Machine Learning
Spam Filter - Data v25,Machine Learning
IoT Sensor Monitor - Edge v8,Discrete Mathematics
Note Taking App - Systems v19,Data Structures and Algorithms
Chat App - ML v4,Computer Networks
Network Packet Sniffer - ML v5,Data Structures and Algorithms
Portfolio Website - Mobile v28,Finite Automata
Crypto Arbitrage Bot - Edge v28,Discrete Mathematics
Portfolio Website - Systems v24,Computer Networks
Multi-tenant SaaS - Data v5,Computer Organization
Music Streaming Prototype - Cloud v28,Data Structures and Algorithms
Smart Attendance - Systems v20,Data Structures and Algorithms
Memory Allocator Demo - Mobile v27,Finite Automata
Memory Allocator Demo - Cloud v9,Discrete Mathematics
Event Ticketing - Edge v12,Finite Automata
Face Detection Tool - ML v29,Finite Automata
Event Ticketing - Web v21,Computer Organization
Map Routing App - Edge v12,Computer Organization
Multi-tenant SaaS - Mobile v23,Computer Organization
Network Packet Sniffer - Data v30,Machine Learning
Portfolio Website - Mobile v26,Finite Automata
Portfolio Website - Systems v15,Computer Organization
Note Taking App - Systems v9,Computer Organization
Scheduling System - Cloud v16,Discrete Mathematics
Expense Splitter - Data v15,Data Structures and Algorithms
DB Index Visualizer - Data v23,Computer Organization
Smart Attendance - Mobile v2,Data Structures and Algorithms
VR Gallery - Web v23,Machine Learning
Spam Filter - Web v15,Discrete Mathematics
Face Detection Tool - Mobile v26,Computer Networks
Social Graph Analyzer - Web v15,Discrete Mathematics
Face Detection Tool - Systems v27,Discrete Mathematics
Recommendation Engine - Edge v28,Data Structures and Algorithms
Network Packet Sniffer - ML v23,Finite Automata
News Aggregator - ML v4,Computer Networks
DB Index Visualizer - Systems v18,Discrete Mathematics
Todo API - Data v4,Machine Learning
Expense Splitter - Cloud v22,Data Structures and Algorithms
Social Graph Analyzer - Web v25,Machine Learning
Edge Caching Simulator - Data v16,Machine Learning
Portfolio Website - Data v4,Machine Learning
Compiler Tiny - Mobile v6,Machine Learning
URL Shortener - Web v9,Computer Organization
AR Ruler - Cloud v10,Data Structures and Algorithms
Network Packet Sniffer - ML v1,Finite Automata
Social Graph Analyzer - Data v9,Discrete Mathematics
Weather Dashboard - Cloud v11,Data Structures and Algorithms
Face Detection Tool - Web v2,Computer Organization
Compiler Tiny - Web v26,Discrete Mathematics
Event Ticketing - Web v28,Computer Networks
Regex Visualizer - Web v22,Computer Organization
Network Packet Sniffer - Web v22,Data Structures and Algorithms
Chat App - ML v1,Finite Automata
Memory Allocator Demo - Data v24,Computer Organization
Blockchain Wallet Demo - Systems v10,Discrete Mathematics
News Aggregator - Cloud v9,Data Structures and Algorithms
Job Portal - Mobile v6,Computer Organization
URL Shortener - Mobile v16,Data Structures and Algorithms
Auto-Grader - Web v30,Computer Organization
Traffic Simulation - Cloud v17,Computer Organization
Map Routing App - Web v10,Computer Networks
Multi-tenant SaaS - Systems v24,Finite Automata
Quiz App - Web v27,Computer Networks
Network Packet Sniffer - Edge v23,Computer Organization
Face Detection Tool - Web v7,Computer Networks
Todo API - Data v23,Computer Organization
AR Ruler - Cloud v15,Discrete Mathematics
URL Shortener - Data v22,Computer Networks
Face Detection Tool - Systems v30,Computer Networks
IoT Sensor Monitor - Systems v8,Computer Organization
Scheduling System - Cloud v17,Discrete Mathematics
Search Engine Mini - Cloud v2,Finite Automata
Scheduling System - ML v3,Computer Organization
Forum Platform - Data v28,Data Structures and Algorithms
Speech-to-Text - Web v13,Computer Networks
Anomaly Detector - Edge v10,Data Structures and Algorithms
Smart Attendance - Cloud v26,Finite Automata
URL Shortener - ML v12,Discrete Mathematics
Image Classifier - Edge v23,Computer Networks
Code Editor Lite - Cloud v24,Finite Automata
Chat App - Cloud v25,Machine Learning
URL Shortener - Systems v27,Machine Learning
Log Parser - Data v2,Finite Automata
Event Ticketing - Systems v23,Computer Organization
Smart Attendance - Data v25,Machine Learning
Blog CMS - Cloud v26,Finite Automata
Social Graph Analyzer - Edge v14,Finite Automata
News Aggregator - Cloud v27,Computer Organization
Scheduling System - ML v19,Discrete Mathematics
Smart Attendance - Web v6,Data Structures and Algorithms
Multi-tenant SaaS - Mobile v4,Computer Organization
Handwriting OCR - Systems v4,Finite Automata
Gesture Recognition - Mobile v15,Machine Learning
Music Streaming Prototype - Systems v21,Discrete Mathematics
Portfolio Website - Edge v7,Discrete Mathematics
Handwriting OCR - Data v9,Data Structures and Algorithms
Search Engine Mini - Data v17,Machine Learning
DB Index Visualizer - Systems v14,Finite Automata
Scheduling System - Systems v8,Computer Organization
Blog CMS - Cloud v20,Finite Automata
Fitness Tracker - ML v27,Data Structures and Algorithms
Blockchain Wallet Demo - Edge v17,Computer Networks
Weather Dashboard - Edge v25,Computer Networks
Expense Splitter - Mobile v20,Finite Automata
E-Commerce Site - Web v9,Finite Automata
DB Index Visualizer - Web v7,Data Structures and Algorithms
Log Parser - Edge v11,Machine Learning
Log Parser - Systems v5,Data Structures and Algorithms
DB Index Visualizer - Edge v17,Discrete Mathematics
Social Graph Analyzer - Mobile v18,Computer Organization
DB Index Visualizer - ML v21,Computer Organization
Scheduling System - ML v15,Machine Learning
Chat App - Web v16,Discrete Mathematics
URL Shortener - Data v19,Finite Automata
Speech-to-Text - Edge v21,Computer Organization
News Aggregator - Mobile v14,Computer Networks
Search Engine Mini - ML v3,Computer Organization
Event Ticketing - Web v23,Machine Learning
Quiz App - Cloud v30,Discrete Mathematics
URL Shortener - ML v17,Computer Networks
Todo API - ML v18,Computer Networks
Regex Visualizer - Cloud v22,Computer Networks
Speech-to-Text - Web v30,Computer Organization
Blog CMS - Mobile v20,Finite Automata
Gesture Recognition - Data v13,Computer Organization
Handwriting OCR - Edge v19,Computer Networks
Chat App - Systems v5,Data Structures and Algorithms
Forum Platform - Systems v27,Computer Networks
DB Index Visualizer - Edge v1,Data Structures and Algorithms
Memory Allocator Demo - Mobile v25,Discrete Mathematics
Crypto Arbitrage Bot - Web v24,Finite Automata
Crypto Arbitrage Bot - ML v13,Computer Networks
Fraud Detection - Edge v9,Computer Networks
Map Routing App - Cloud v2,Discrete Mathematics
Note Taking App - Edge v30,Data Structures and Algorithms
Weather Dashboard - Web v28,Machine Learning
Anomaly Detector - ML v22,Discrete Mathematics
Spam Filter - Web v1,Data Structures and Algorithms
AR Ruler - Edge v8,Finite Automata
Stock Price Tracker - Data v29,Machine Learning
Map Routing App - ML v4,Computer Organization
E-Commerce Site - Mobile v11,Computer Networks
AR Ruler - Systems v17,Machine Learning
Todo API - ML v22,Computer Networks
Expense Splitter - Mobile v25,Data Structures and Algorithms
Blog CMS - Web v21,Discrete Mathematics
Multi-tenant SaaS - ML v8,Finite Automata
News Aggregator - Cloud v15,Machine Learning
Spam Filter - Web v25,Data Structures and Algorithms
Search Engine Mini - Cloud v12,Data Structures and Algorithms
Weather Dashboard - Cloud v10,Machine Learning
Quiz App - Web v29,Computer Networks
Social Graph Analyzer - Systems v16,Data Structures and Algorithms
Blockchain Wallet Demo - Data v26,Computer Organization
E-Commerce Site - Cloud v28,Finite Automata
Map Routing App - Mobile v6,Computer Networks
Regex Visualizer - Cloud v26,Machine Learning
Code Editor Lite - Mobile v12,Machine Learning
File Sharing Service - ML v21,Computer Organization
URL Shortener - Web v21,Machine Learning
Compiler Tiny - Web v30,Computer Networks
Spam Filter - Systems v19,Computer Organization
Smart Attendance - Edge v30,Finite Automata
AR Ruler - Systems v6,Discrete Mathematics
Auto-Grader - Systems v22,Computer Organization
Smart Attendance - Mobile v10,Data Structures and Algorithms
Log Parser - Edge v18,Finite Automata
Traffic Simulation - Data v30,Computer Organization
E-Commerce Site - ML v5,Computer Organization
Fitness Tracker - Data v1,Data Structures and Algorithms
Image Classifier - Web v17,Computer Networks
Memory Allocator Demo - Cloud v17,Computer Organization
Edge Caching Simulator - Cloud v15,Finite Automata
Memory Allocator Demo - Cloud v30,Computer Networks
Job Portal - ML v28,Discrete Mathematics
Auto-Grader - Mobile v11,Computer Organization
Blockchain Wallet Demo - Mobile v4,Computer Organization
Code Editor Lite - Data v25,Data Structures and Algorithms
Blockchain Wallet Demo - Data v17,Discrete Mathematics
DB Index Visualizer - Cloud v3,Computer Networks
Log Parser - ML v3,Machine Learning
Forum Platform - Web v19,Discrete Mathematics
Speech-to-Text - Edge v1,Finite Automata
Auto-Grader - Mobile v30,Finite Automata
Quiz App - Mobile v18,Machine Learning
News Aggregator - Web v24,Data Structures and Algorithms
Portfolio Website - Data v18,Computer Networks
Handwriting OCR - Data v28,Computer Organization
URL Shortener - Edge v9,Machine Learning
Crypto Arbitrage Bot - Web v18,Data Structures and Algorithms
Forum Platform - Cloud v20,Finite Automata
Portfolio Website - Cloud v6,Computer Networks
Multi-tenant SaaS - Data v25,Discrete Mathematics
E-Commerce Site - Mobile v26,Computer Networks
Course Planner - Edge v10,Computer Networks
Job Portal - Mobile v18,Discrete Mathematics
Speech-to-Text - Web v4,Discrete Mathematics
Memory Allocator Demo - Systems v23,Finite Automata
Forum Platform - ML v6,Computer Networks
Map Routing App - Cloud v16,Finite Automata
Course Planner - Systems v1,Machine Learning
Weather Dashboard - Mobile v19,Discrete Mathematics
Chat App - Data v8,Discrete Mathematics
Music Streaming Prototype - Systems v26,Data Structures and Algorithms
E-Commerce Site - Web v22,Machine Learning
Recommendation Engine - Web v13,Data Structures and Algorithms
Note Taking App - Web v7,Finite Automata
Edge Caching Simulator - Cloud v8,Data Structures and Algorithms
Fitness Tracker - Data v2,Discrete Mathematics
IoT Sensor Monitor - ML v21,Computer Networks
Chat App - Systems v12,Discrete Mathematics
Log Parser - Web v24,Data Structures and Algorithms
Chat App - Systems v25,Computer Networks
DB Index Visualizer - Edge v15,Computer Organization
Blockchain Wallet Demo - Cloud v13,Computer Organization
Edge Caching Simulator - Edge v26,Computer Organization
URL Shortener - Data v29,Computer Organization
Scheduling System - Systems v20,Computer Organization
Gesture Recognition - Cloud v24,Data Structures and Algorithms
Compiler Tiny - ML v8,Finite Automata
Face Detection Tool - Cloud v10,Machine Learning
Blockchain Wallet Demo - Edge v15,Machine Learning
