Project Name,Subject Skill Needed
Auto-Grader - Systems v17,Computer Networks
Regex Visualizer - Edge v27,Data Structures and Algorithms
Blockchain Wallet Demo - Edge v24,Discrete Mathematics
Music Streaming Prototype - Edge v9,Computer Networks
Stock Price Tracker - Systems v14,Finite Automata
Fraud Detection - ML v17,Finite Automata
Auto-Grader - Systems v16,Finite Automata
Quiz App - Cloud v15,Finite Automata
Fraud Detection - Cloud v1,Computer Organization
Memory Allocator Demo - Web v1,Computer Networks
Anomaly Detector - Systems v10,Machine Learning
Edge Caching Simulator - Edge v30,Finite Automata
Social Graph Analyzer - ML v14,Computer Networks
Edge Caching Simulator - Data v27,Computer Organization
Expense Splitter - Web v14,Machine Learning
Note Taking App - Web v11,Data Structures and Algorithms
Quiz App - ML v1,Data Structures and Algorithms
Sentiment Analyzer - Web v23,Machine Learning
DB Index Visualizer - Mobile v29,Data Structures and Algorithms
Job Portal - Edge v30,Computer Organization
Fraud Detection - ML v12,Machine Learning
Multi-tenant SaaS - Systems v16,Computer Organization
Music Streaming Prototype - ML v17,Computer Organization
Map Routing App - Mobile v11,Computer Organization
Fraud Detection - Cloud v17,Finite Automata
Smart Attendance - Mobile v21,Data Structures and Algorithms
File Sharing Service - Cloud v5,Machine Learning
Fitness Tracker - ML v24,Machine Learning
Blockchain Wallet Demo - Systems v21,Data Structures and Algorithms
Music Streaming Prototype - ML v24,Finite Automata
Gesture Recognition - Mobile v21,Computer Networks
Multi-tenant SaaS - Data v19,Data Structures and Algorithms
Course Planner - Mobile v19,Machine Learning
Quiz App - Data v22,Data Structures and Algorithms
Code Editor Lite - Systems v18,Discrete Mathematics
Memory Allocator Demo - Data v2,Finite Automata
Code Editor Lite - ML v8,Finite Automata
Compiler Tiny - Web v2,Computer Organization
AR Ruler - Data v15,Discrete Mathematics
Map Routing App - Edge v13,Discrete Mathematics
Event Ticketing - Mobile v19,Computer Organization
Stock Price Tracker - Edge v12,Finite Automata
Speech-to-Text - Web v19,Finite Automata
Sentiment Analyzer - ML v22,Machine Learning
Quiz App - ML v7,Discrete Mathematics
Fitness Tracker - Edge v5,Computer Organization
DB Index Visualizer - Cloud v22,Discrete Mathematics
Blockchain Wallet Demo - Systems v2,Computer Organization
Multi-tenant SaaS - Cloud v22,Finite Automata
IoT Sensor Monitor - Data v12,Finite Automata
Compiler Tiny - Web v28,Machine Learning
DB Index Visualizer - Web v21,Data Structures and Algorithms
Note Taking App - Mobile v26,Computer Networks
Stock Price Tracker - Systems v6,Discrete Mathematics
Anomaly Detector - Data v10,Computer Organization
Code Editor Lite - Web v4,Discrete Mathematics
Face Detection Tool - ML v26,Discrete Mathematics
Face Detection Tool - Web v6,Discrete Mathematics
Course Planner - Mobile v15,Data Structures and Algorithms
E-Commerce Site - Cloud v11,Discrete Mathematics
Blockchain Wallet Demo - Cloud v7,Computer Networks
Compiler Tiny - Cloud v9,Computer Networks
Log Parser - Cloud v8,Discrete Mathematics
Quiz App - Web v15,Data Structures and Algorithms
Speech-to-Text - Data v9,Computer Organization
Fitness Tracker - Edge v13,Computer Organization
Forum Platform - Mobile v4,Computer Organization
Spam Filter - Mobile v19,Machine Learning
Search Engine Mini - Edge v14,Finite Automata
Portfolio Website - Systems v19,Data Structures and Algorithms
Chat App - Edge v28,Discrete Mathematics
Scheduling System - ML v4,Computer Organization
Expense Splitter - Edge v25,Computer Organization
URL Shortener - Edge v3,Finite Automata
Sentiment Analyzer - Mobile v19,Data Structures and Algorithms
Weather Dashboard - ML v5,Machine Learning
Edge Caching Simulator - Edge v8,Computer Networks
Regex Visualizer - Edge v6,Finite Automata
Handwriting OCR - Cloud v2,Computer Networks
VR Gallery - Data v1,Data Structures and Algorithms
Recommendation Engine - Web v8,Finite Automata
Speech-to-Text - ML v24,Machine Learning
Auto-Grader - Web v29,Finite Automata
Handwriting OCR - Web v25,Computer Networks
Image Classifier - Cloud v24,Computer Networks
Crypto Arbitrage Bot - Mobile v8,Finite Automata
Blockchain Wallet Demo - Cloud v5,Data Structures and Algorithms
E-Commerce Site - Mobile v19,Discrete Mathematics
Fraud Detection - Mobile v21,Data Structures and Algorithms
Chat App - Data v28,Computer Networks
Edge Caching Simulator - Data v28,Data Structures and Algorithms
Quiz App - Systems v2,Data Structures and Algorithms
Smart Attendance - Web v4,Computer Organization
Multi-tenant SaaS - Cloud v29,Computer Organization
Regex Visualizer - Web v10,Data Structures and Algorithms
Note Taking App - Web v13,Computer Organization
Traffic Simulation - Systems v6,Computer Networks
Compiler Tiny - Cloud v8,Computer Organization
Forum Platform - Systems v14,Machine Learning
VR Gallery - Mobile v26,Data Structures and Algorithms
News Aggregator - Cloud v8,Finite Automata
Anomaly Detector - Systems v27,Discrete Mathematics
Fitness Tracker - Data v15,Computer Organization
Auto-Grader - Data v8,Machine Learning
Social Graph Analyzer - Systems v19,Computer Networks
Compiler Tiny - Systems v23,Computer Organization
Edge Caching Simulator - Systems v2,Computer Networks
Log Parser - ML v29,Data Structures and Algorithms
Memory Allocator Demo - Edge v13,Computer Organization
Blog CMS - Web v4,Computer Networks
Anomaly Detector - Cloud v6,Data Structures and Algorithms
Map Routing App - Web v3,Computer Organization
Memory Allocator Demo - Edge v7,Computer Networks
Fraud Detection - Cloud v16,Finite Automata
Job Portal - Edge v18,Computer Organization
Recommendation Engine - Web v9,Data Structures and Algorithms
Stock Price Tracker - Systems v10,Finite Automata
Social Graph Analyzer - Mobile v25,Computer Organization
Network Packet Sniffer - Web v21,Discrete Mathematics
Sentiment Analyzer - Mobile v21,Computer Organization
AR Ruler - ML v8,Discrete Mathematics
Stock Price Tracker - Web v5,Data Structures and Algorithms
Speech-to-Text - Data v6,Computer Networks
Image Classifier - Web v12,Computer Organization
URL Shortener - Web v10,Computer Organization
Sentiment Analyzer - Edge v9,Discrete Mathematics
DB Index Visualizer - Data v17,Machine Learning
VR Gallery - Mobile v14,Data Structures and Algorithms
Blockchain Wallet Demo - Edge v9,Machine Learning
Compiler Tiny - Data v30,Computer Organization
Traffic Simulation - Data v28,Data Structures and Algorithms
Gesture Recognition - ML v3,Machine Learning
Traffic Simulation - Web v24,Computer Networks
DB Index Visualizer - Mobile v9,Data Structures and Algorithms
Quiz App - Cloud v24,Finite Automata
Spam Filter - Cloud v24,Finite Automata
Anomaly Detector - Cloud v24,Finite Automata
Portfolio Website - Edge v26,Computer Networks
Fraud Detection - Mobile v19,Machine Learning
VR Gallery - Mobile v29,Finite Automata
VR Gallery - Data v7,Discrete Mathematics
Fraud Detection - Web v5,Computer Organization
Todo API - Edge v22,Discrete Mathematics
Compiler Tiny - Edge v28,Machine Learning
Network Packet Sniffer - Data v22,Data Structures and Algorithms
Search Engine Mini - Edge v9,Computer Organization
Scheduling System - Data v16,Data Structures and Algorithms
Blockchain Wallet Demo - Edge v21,Discrete Mathematics
Speech-to-Text - ML v30,Computer Organization
Memory Allocator Demo - Systems v6,Data Structures and Algorithms
Handwriting OCR - Cloud v13,Finite Automata
Music Streaming Prototype - Mobile v2,Data Structures and Algorithms
Face Detection Tool - Systems v19,Computer Organization
Fitness Tracker - Mobile v4,Computer Networks
Memory Allocator Demo - Edge v2,Computer Organization
Job Portal - Cloud v24,Data Structures and Algorithms
Fraud Detection - Cloud v24,Discrete Mathematics
Traffic Simulation - Systems v25,Finite Automata
DB Index Visualizer - Data v27,Computer Organization
Search Engine Mini - ML v9,Finite Automata
Portfolio Website - Systems v25,Data Structures and Algorithms
Fitness Tracker - Systems v5,Machine Learning
File Sharing Service - ML v14,Computer Networks
Job Portal - Data v4,Finite Automata
Note Taking App - Data v15,Computer Networks
Smart Attendance - Systems v11,Data Structures and Algorithms
E-Commerce Site - Mobile v21,Computer Organization
Edge Caching Simulator - Mobile v1,Data Structures and Algorithms
Recommendation Engine - Mobile v1,Computer Organization
Social Graph Analyzer - ML v4,Computer Organization
DB Index Visualizer - Mobile v27,Data Structures and Algorithms
Map Routing App - Cloud v5,Data Structures and Algorithms
Auto-Grader - ML v21,Machine Learning
Note Taking App - Web v26,Computer Networks
Recommendation Engine - Cloud v4,Computer Networks
Fraud Detection - Mobile v2,Discrete Mathematics
Multi-tenant SaaS - ML v11,Machine Learning
Auto-Grader - Systems v23,Computer Networks
Auto-Grader - Cloud v7,Computer Organization
Chat App - Data v1,Computer Organization
Weather Dashboard - Systems v29,Discrete Mathematics
Blog CMS - ML v3,Computer Networks
Chat App - ML v26,Finite Automata
Fraud Detection - Web v16,Machine Learning
Stock Price Tracker - Data v4,Computer Organization
Compiler Tiny - Systems v25,Machine Learning
Portfolio Website - Systems v22,Finite Automata
Gesture Recognition - Systems v26,Discrete Mathematics
File Sharing Service - ML v19,Finite Automata
Sentiment Analyzer - Web v30,Discrete Mathematics
Regex Visualizer - ML v5,Computer Organization
Network Packet Sniffer - Mobile v7,Machine Learning
Quiz App - Systems v29,Data Structures and Algorithms
Portfolio Website - Systems v17,Discrete Mathematics
Blockchain Wallet Demo - Edge v8,Data Structures and Algorithms
Chat App - Mobile v19,Computer Networks
Event Ticketing - Edge v21,Machine Learning
Course Planner - Cloud v22,Finite Automata
Sentiment Analyzer - Web v12,Computer Networks
Map Routing App - Mobile v28,Machine Learning
Sentiment Analyzer - ML v12,Discrete Mathematics
Weather Dashboard - Systems v30,Data Structures and Algorithms
Quiz App - Edge v21,Machine Learning
Blockchain Wallet Demo - Cloud v14,Computer Organization
Speech-to-Text - Web v26,Computer Organization
Multi-tenant SaaS - Web v2,Computer Organization
Weather Dashboard - Systems v20,Data Structures and Algorithms
URL Shortener - Edge v22,Machine Learning
E-Commerce Site - Edge v8,Machine Learning
Memory Allocator Demo - Data v1,Data Structures and Algorithms
Anomaly Detector - Web v28,Discrete Mathematics
Portfolio Website - Cloud v2,Finite Automata
Fraud Detection - Mobile v3,Data Structures and Algorithms
Anomaly Detector - Data v6,Computer Organization
DB Index Visualizer - Mobile v7,Discrete Mathematics
Chat App - Mobile v24,Data Structures and Algorithms
AR Ruler - Web v26,Machine Learning
Recommendation Engine - Cloud v7,Computer Organization
Sentiment Analyzer - Web v9,Finite Automata
Blockchain Wallet Demo - ML v26,Computer Networks
VR Gallery - Edge v22,Discrete Mathematics
Blockchain Wallet Demo - Web v23,Computer Organization
Multi-tenant SaaS - Data v6,Finite Automata
Blockchain Wallet Demo - Web v20,Discrete Mathematics
Forum Platform - ML v25,Machine Learning
Fraud Detection - ML v14,Computer Organization
Recommendation Engine - Cloud v13,Machine Learning
Log Parser - Data v4,Discrete Mathematics
Compiler Tiny - ML v1,Machine Learning
Search Engine Mini - Data v6,Data Structures and Algorithms
News Aggregator - Cloud v21,Discrete Mathematics
Anomaly Detector - ML v11,Computer Organization
Spam Filter - Web v21,Machine Learning
Handwriting OCR - Systems v30,Finite Automata
Quiz App - Data v27,Data Structures and Algorithms
Multi-tenant SaaS - Cloud v13,Discrete Mathematics
Weather Dashboard - Systems v17,Computer Organization
Network Packet Sniffer - Mobile v12,Finite Automata
Fitness Tracker - ML v17,Discrete Mathematics
Gesture Recognition - Mobile v3,Computer Organization
Handwriting OCR - Systems v20,Computer Networks
Blockchain Wallet Demo - Mobile v24,Computer Networks
Anomaly Detector - Systems v21,Finite Automata
Memory Allocator Demo - Web v23,Computer Networks
Memory Allocator Demo - Data v3,Discrete Mathematics
Speech-to-Text - Data v4,Computer Networks
Course Planner - ML v21,Data Structures and Algorithms
Recommendation Engine - Edge v30,Computer Networks
Expense Splitter - Mobile v2,Finite Automata
Forum Platform - Mobile v13,Computer Organization
Quiz App - Cloud v28,Discrete Mathematics
Edge Caching Simulator - Cloud v19,Computer Organization
Search Engine Mini - Web v12,Finite Automata
File Sharing Service - Cloud v9,Discrete Mathematics
Sentiment Analyzer - Web v18,Discrete Mathematics
Sentiment Analyzer - Cloud v11,Machine Learning
Image Classifier - Systems v26,Computer Organization
Spam Filter - Systems v30,Data Structures and Algorithms
Smart Attendance - Edge v26,Discrete Mathematics
Spam Filter - Data v20,Discrete Mathematics
Spam Filter - Cloud v17,Discrete Mathematics
News Aggregator - Cloud v3,Data Structures and Algorithms
Expense Splitter - Mobile v19,Data Structures and Algorithms
Social Graph Analyzer - Systems v29,Finite Automata
Face Detection Tool - Edge v10,Computer Networks
Search Engine Mini - Data v2,Computer Networks
Spam Filter - Data v29,Machine Learning
Music Streaming Prototype - Systems v6,Computer Organization
Gesture Recognition - Data v23,Computer Organization
Compiler Tiny - Data v11,Computer Networks
E-Commerce Site - Systems v21,Finite Automata
News Aggregator - Web v17,Machine Learning
News Aggregator - Mobile v7,Computer Organization
Multi-tenant SaaS - Mobile v28,Computer Networks
Job Portal - Cloud v28,Data Structures and Algorithms
DB Index Visualizer - Mobile v12,Machine Learning
Expense Splitter - Mobile v9,Computer Networks
Network Packet Sniffer - Cloud v12,Computer Organization
Recommendation Engine - Cloud v10,Computer Networks
Code Editor Lite - Data v12,Finite Automata
Edge Caching Simulator - Web v23,Computer Organization
Auto-Grader - Data v9,Discrete Mathematics
Handwriting OCR - Mobile v14,Data Structures and Algorithms
Recommendation Engine - Web v15,Computer Organization
Portfolio Website - Systems v21,Computer Organization
Music Streaming Prototype - Edge v19,Data Structures and Algorithms
Music Streaming Prototype - Web v8,Discrete Mathematics
Gesture Recognition - Data v6,Machine Learning
Sentiment Analyzer - Data v5,Machine Learning
Social Graph Analyzer - Data v7,Computer Networks
Gesture Recognition - Mobile v8,Finite Automata
Fitness Tracker - Web v22,Discrete Mathematics
Event Ticketing - Mobile v27,Computer Networks
Job Portal - Data v10,Finite Automata
Forum Platform - Mobile v10,Finite Automata
Memory Allocator Demo - Data v7,Computer Organization
Music Streaming Prototype - Web v3,Machine Learning
Face Detection Tool - Web v26,Discrete Mathematics
Scheduling System - Edge v24,Discrete Mathematics
Event Ticketing - Web v25,Data Structures and Algorithms
Todo API - Edge v28,Machine Learning
Map Routing App - Systems v11,Discrete Mathematics
Chat App - Web v1,Computer Networks
Gesture Recognition - Mobile v2,Discrete Mathematics
Social Graph Analyzer - Data v10,Computer Organization
Face Detection Tool - ML v8,Machine Learning
Fitness Tracker - Mobile v12,Discrete Mathematics
Event Ticketing - Mobile v5,Discrete Mathematics
Social Graph Analyzer - Web v7,Machine Learning
Spam Filter - Cloud v22,Finite Automata
IoT Sensor Monitor - Edge v27,Machine Learning
Regex Visualizer - Web v25,Data Structures and Algorithms
Quiz App - Mobile v17,Data Structures and Algorithms
Expense Splitter - Mobile v28,Computer Organization
Smart Attendance - Cloud v13,Machine Learning
Music Streaming Prototype - Web v7,Computer Networks
Regex Visualizer - Systems v12,Computer Networks
Auto-Grader - Edge v28,Discrete Mathematics
Log Parser - Edge v25,Computer Organization
Multi-tenant SaaS - ML v12,Discrete Mathematics
Weather Dashboard - Systems v2,Computer Networks
Expense Splitter - Data v29,Discrete Mathematics
Regex Visualizer - Systems v17,Machine Learning
Search Engine Mini - Web v14,Finite Automata
File Sharing Service - Mobile v16,Machine Learning
Stock Price Tracker - Data v25,Machine Learning
Quiz App - Systems v14,Finite Automata
Spam Filter - Mobile v21,Finite Automata
Stock Price Tracker - Cloud v20,Data Structures and Algorithms
Scheduling System - Systems v22,Machine Learning
Event Ticketing - ML v29,Discrete Mathematics
Blockchain Wallet Demo - Edge v5,Discrete Mathematics
Compiler Tiny - Cloud v7,Computer Organization
Anomaly Detector - Systems v29,Computer Networks
Blog CMS - Edge v15,Machine Learning
Edge Caching Simulator - Cloud v26,Computer Organization
Speech-to-Text - Cloud v16,Data Structures and Algorithms
Memory Allocator Demo - Mobile v10,Computer Networks
Log Parser - Edge v22,Data Structures and Algorithms
Memory Allocator Demo - Cloud v19,Finite Automata
Fitness Tracker - Mobile v24,Discrete Mathematics
Compiler Tiny - Systems v2,Computer Networks
Blog CMS - Systems v19,Computer Organization
VR Gallery - Mobile v8,Data Structures and Algorithms
Search Engine Mini - ML v10,Finite Automata
News Aggregator - Cloud v29,Machine Learning
Face Detection Tool - Mobile v19,Finite Automata
Expense Splitter - ML v30,Computer Networks
DB Index Visualizer - Systems v27,Discrete Mathematics
Fitness Tracker - Systems v14,Discrete Mathematics
VR Gallery - Edge v6,Computer Networks
Handwriting OCR - Web v24,Computer Networks
Expense Splitter - Data v6,Computer Organization
Speech-to-Text - Cloud v28,Computer Organization
Traffic Simulation - Cloud v4,Computer Organization
Spam Filter - Systems v20,Computer Networks
Music Streaming Prototype - Mobile v8,Computer Organization
Crypto Arbitrage Bot - Mobile v14,Discrete Mathematics
Chat App - Edge v17,Machine Learning
Traffic Simulation - Cloud v10,Finite Automata
Fitness Tracker - Systems v6,Computer Organization
Search Engine Mini - Data v11,Machine Learning
Chat App - Cloud v2,Data Structures and Algorithms
Edge Caching Simulator - Mobile v12,Machine Learning
Face Detection Tool - Edge v11,Data Structures and Algorithms
Traffic Simulation - Edge v11,Computer Organization
Multi-tenant SaaS - Systems v23,Finite Automata
Job Portal - Edge v21,Discrete Mathematics
Handwriting OCR - Data v15,Machine Learning
URL Shortener - Edge v14,Data Structures and Algorithms
E-Commerce Site - ML v19,Machine Learning
Map Routing App - Systems v28,Discrete Mathematics
Traffic Simulation - Systems v8,Finite Automata
Multi-tenant SaaS - Cloud v7,Discrete Mathematics
Anomaly Detector - Edge v19,Machine Learning
Anomaly Detector - Mobile v23,Discrete Mathematics
Log Parser - ML v4,Computer Organization
URL Shortener - Edge v1,Computer Organization
Note Taking App - Edge v17,Machine Learning
Forum Platform - Web v29,Computer Organization
Network Packet Sniffer - Cloud v9,Computer Organization
Expense Splitter - Cloud v23,Machine Learning
Scheduling System - Mobile v19,Computer Networks
Scheduling System - Cloud v5,Computer Organization
Log Parser - ML v7,Computer Organization
VR Gallery - Data v3,Data Structures and Algorithms
Blockchain Wallet Demo - Mobile v14,Computer Organization
Code Editor Lite - Systems v17,Finite Automata
Todo API - Data v16,Computer Organization
Memory Allocator Demo - Cloud v11,Machine Learning
Portfolio Website - Mobile v6,Computer Organization
Multi-tenant SaaS - Mobile v15,Computer Networks
Sentiment Analyzer - Mobile v2,Finite Automata
Gesture Recognition - Web v20,Data Structures and Algorithms
Scheduling System - Data v19,Computer Organization
Social Graph Analyzer - Web v1,Machine Learning
Image Classifier - Web v19,Machine Learning
Multi-tenant SaaS - Cloud v2,Computer Networks
URL Shortener - Data v18,Finite Automata
Network Packet Sniffer - Mobile v16,Data Structures and Algorithms
Memory Allocator Demo - Edge v6,Discrete Mathematics
URL Shortener - Cloud v17,Machine Learning
Event Ticketing - Cloud v11,Computer Organization
Edge Caching Simulator - ML v4,Finite Automata
Forum Platform - Data v18,Discrete Mathematics
Regex Visualizer - Web v29,Finite Automata
Social Graph Analyzer - Mobile v4,Discrete Mathematics
Smart Attendance - ML v15,Computer Networks
Network Packet Sniffer - Edge v24,Machine Learning
Regex Visualizer - Cloud v9,Finite Automata
Handwriting OCR - Web v2,Data Structures and Algorithms
Stock Price Tracker - ML v25,Machine Learning
Portfolio Website - Cloud v23,Finite Automata
Gesture Recognition - Data v17,Discrete Mathematics
Blog CMS - Edge v5,Computer Organization
AR Ruler - Systems v2,Computer Networks
Search Engine Mini - Cloud v9,Discrete Mathematics
Blockchain Wallet Demo - Cloud v29,Data Structures and Algorithms
Fitness Tracker - Systems v8,Computer Organization
URL Shortener - ML v6,Finite Automata
Face Detection Tool - Edge v3,Finite Automata
Course Planner - Mobile v2,Data Structures and Algorithms
Chat App - Data v6,Machine Learning
Traffic Simulation - Cloud v28,Machine Learning
Stock Price Tracker - ML v6,Discrete Mathematics
Social Graph Analyzer - Web v10,Discrete Mathematics
Smart Attendance - Mobile v1,Data Structures and Algorithms
Spam Filter - Cloud v25,Data Structures and Algorithms
Stock Price Tracker - Systems v25,Data Structures and Algorithms
Face Detection Tool - Cloud v8,Computer Organization
Speech-to-Text - Web v21,Computer Organization
Traffic Simulation - Cloud v25,Machine Learning
Auto-Grader - Cloud v4,Computer Networks
Scheduling System - Web v11,Discrete Mathematics
Note Taking App - Systems v6,Computer Organization
Edge Caching Simulator - Systems v16,Computer Networks
Sentiment Analyzer - Cloud v9,Finite Automata
URL Shortener - Web v15,Computer Organization
Sentiment Analyzer - ML v23,Discrete Mathematics
Edge Caching Simulator - Edge v17,Data Structures and Algorithms
Regex Visualizer - Mobile v16,Machine Learning
E-Commerce Site - Mobile v1,Machine Learning
E-Commerce Site - ML v27,Computer Networks
E-Commerce Site - Mobile v6,Finite Automata
Face Detection Tool - Edge v27,Data Structures and Algorithms
Event Ticketing - Edge v14,Computer Networks
Network Packet Sniffer - Web v14,Machine Learning
Image Classifier - Data v12,Computer Networks
Recommendation Engine - Mobile v25,Computer Organization
Fitness Tracker - Systems v22,Discrete Mathematics
Fitness Tracker - ML v7,Finite Automata
AR Ruler - Web v14,Discrete Mathematics
File Sharing Service - Web v20,Discrete Mathematics
Quiz App - Mobile v27,Discrete Mathematics
Image Classifier - Edge v15,Data Structures and Algorithms
Search Engine Mini - Web v2,Machine Learning
Chat App - Data v13,Computer Networks
Multi-tenant SaaS - Systems v3,Computer Networks
Memory Allocator Demo - Cloud v16,Machine Learning
URL Shortener - Systems v1,Finite Automata
Log Parser - Web v28,Computer Networks
Code Editor Lite - Edge v1,Discrete Mathematics
Sentiment Analyzer - Cloud v10,Discrete Mathematics
URL Shortener - Data v23,Data Structures and Algorithms
E-Commerce Site - Mobile v15,Finite Automata
URL Shortener - ML v11,Machine Learning
Handwriting OCR - Data v22,Data Structures and Algorithms
URL Shortener - Web v28,Computer Networks
Image Classifier - Edge v16,Computer Organization
Network Packet Sniffer - Cloud v22,Data Structures and Algorithms
Crypto Arbitrage Bot - Mobile v5,Discrete Mathematics
Anomaly Detector - Systems v7,Finite Automata
Weather Dashboard - ML v1,Finite Automata
Edge Caching Simulator - Data v18,Machine Learning
Social Graph Analyzer - Cloud v2,Finite Automata
Crypto Arbitrage Bot - ML v23,Data Structures and Algorithms
Sentiment Analyzer - Mobile v16,Computer Networks
Gesture Recognition - Mobile v25,Machine Learning
Scheduling System - Systems v17,Computer Organization
Crypto Arbitrage Bot - Web v4,Discrete Mathematics
Auto-Grader - Web v16,Machine Learning
Stock Price Tracker - Mobile v14,Computer Organization
Forum Platform - Cloud v29,Data Structures and Algorithms
Gesture Recognition - ML v4,Machine Learning
Event Ticketing - Mobile v9,Computer Organization
Scheduling System - Cloud v24,Data Structures and Algorithms
Stock Price Tracker - Edge v16,Machine Learning
Social Graph Analyzer - Mobile v14,Machine Learning
Job Portal - Systems v6,Data Structures and Algorithms
Music Streaming Prototype - Edge v6,Discrete Mathematics
Traffic Simulation - Systems v12,Data Structures and Algorithms
